layer,n_samples,silhouette,anova_pc1_F,anova_pc1_p,anova_pc2_F,anova_pc2_p,centroid_dist,centroid_dist_norm,csv
net_blocks_0,500,-0.004456356513773235,2.4488624026693846,0.11824526903388742,0.0718962746806308,0.7887065815888634,2.550601546861883,0.1907888646279042,/home/mellie/supervised-vs-SSL/PCA_results/passt/net_blocks_0_pca.csv
net_blocks_1,500,-0.005491396598988515,2.2042563910842516,0.13826292081634545,0.559580825742392,0.4547822890584958,2.199901390194935,0.174577307608459,/home/mellie/supervised-vs-SSL/PCA_results/passt/net_blocks_1_pca.csv
net_blocks_10,500,-0.0037271374698164992,2.6924156003798823,0.10145824303148059,1.2482232188464828,0.2644308163155874,1.5160341479489905,0.19950905530363408,/home/mellie/supervised-vs-SSL/PCA_results/passt/net_blocks_10_pca.csv
net_blocks_11,500,-0.0027112492882670224,2.6771062558657666,0.10243235307532582,2.029839286575237,0.15486327677633493,1.6722273258743607,0.20606919700824608,/home/mellie/supervised-vs-SSL/PCA_results/passt/net_blocks_11_pca.csv
net_blocks_2,500,-0.005803607088829537,3.041010724998119,0.08180239549420455,0.5930069836515097,0.44162381921251226,2.3974806592406206,0.2049391422147787,/home/mellie/supervised-vs-SSL/PCA_results/passt/net_blocks_2_pca.csv
net_blocks_3,500,-0.005118489831812539,3.749126675515076,0.0534005739954215,1.047637969258033,0.30654864289987677,2.5305383626667677,0.23145779905037042,/home/mellie/supervised-vs-SSL/PCA_results/passt/net_blocks_3_pca.csv
net_blocks_4,500,-0.0052930083256321975,3.55859173880336,0.059819523151079974,1.070362013077618,0.3013658166507089,2.417257602628241,0.22517404731131657,/home/mellie/supervised-vs-SSL/PCA_results/passt/net_blocks_4_pca.csv
net_blocks_5,500,-0.00542586174554103,2.8968094949895096,0.0893791653502403,1.2597494365841555,0.2622393658455618,2.001469572041619,0.206887007022286,/home/mellie/supervised-vs-SSL/PCA_results/passt/net_blocks_5_pca.csv
net_blocks_6,500,-0.004427692676776013,2.566496697797375,0.10978328640444283,1.7496645613900699,0.18652598840735954,1.858240481208435,0.20084894189480815,/home/mellie/supervised-vs-SSL/PCA_results/passt/net_blocks_6_pca.csv
net_blocks_7,500,-0.002733471075058933,2.6538962961314914,0.10392879669191125,0.9475252507484894,0.330822590512037,1.6395261678787578,0.19686137921331706,/home/mellie/supervised-vs-SSL/PCA_results/passt/net_blocks_7_pca.csv
net_blocks_8,500,-0.002750948644528716,2.6182142814818277,0.1062764170423342,0.7109465140913898,0.39953456501234197,1.5874328333208798,0.19518652924763547,/home/mellie/supervised-vs-SSL/PCA_results/passt/net_blocks_8_pca.csv
net_blocks_9,500,-0.0022676941495413487,3.4661908734537987,0.06322424127813174,0.14834928586507803,0.7002823059370518,1.735483103641148,0.22047552408111662,/home/mellie/supervised-vs-SSL/PCA_results/passt/net_blocks_9_pca.csv
z_final_embeddings,500,-0.003071804740003146,2.7284390773826543,0.09920594028098514,0.020321759003145354,0.8866997634692737,1.883007716985926,0.19045252771713567,/home/mellie/supervised-vs-SSL/PCA_results/passt/z_final_embeddings_pca.csv
