layer,n_samples,silhouette,anova_pc1_F,anova_pc1_p,anova_pc2_F,anova_pc2_p,centroid_dist,centroid_dist_norm,csv
pca_fc_0,500,0.13095779947145228,106.60499411867215,8.90497478992679e-23,0.5401011652241752,0.4627367302344183,85.65627557165831,1.0889417493445095,/home/mellie/supervised-vs-SSL/PCA_results/byola/pca_fc_0.csv
pca_fc_1,500,0.1283566677156637,99.31970821286494,1.8751830993196047e-21,1.128241941826691,0.28866546268123033,61.39230275238638,1.053604791936809,/home/mellie/supervised-vs-SSL/PCA_results/byola/pca_fc_1.csv
pca_fc_2,500,0.12835664005416325,99.31967636337772,1.8752082409286435e-21,1.1283518722367507,0.2886420000160409,61.39231601757614,1.0536049143413773,/home/mellie/supervised-vs-SSL/PCA_results/byola/pca_fc_2.csv
pca_fc_3,500,0.13796832495142936,115.32620979243454,2.4391168680087e-24,0.003639940466878053,0.9519154838139263,89.78622671226942,1.1233357285592374,/home/mellie/supervised-vs-SSL/PCA_results/byola/pca_fc_3.csv
pca_fc_4,500,0.1334138497525268,106.71408572597372,8.510271861345441e-23,0.283654334959392,0.5945535308772452,63.317898688606014,1.080732647468832,/home/mellie/supervised-vs-SSL/PCA_results/byola/pca_fc_4.csv
pca_features_0,500,0.1254271501620069,101.31453561721085,8.109378335757982e-22,0.08966840678417572,0.7647240644669202,253.66045239986082,1.1289620614897597,/home/mellie/supervised-vs-SSL/PCA_results/byola/pca_features_0.csv
pca_features_1,500,0.12542714310539713,101.31455222603454,8.109321836964235e-22,0.08967307009089903,0.7647181276787371,253.66044542248014,1.1289622719978805,/home/mellie/supervised-vs-SSL/PCA_results/byola/pca_features_1.csv
pca_features_2,500,0.1293739591968295,87.20784438646359,3.247431396237629e-19,0.7432607583079289,0.3890332849661604,167.98057863398773,1.0196439571783902,/home/mellie/supervised-vs-SSL/PCA_results/byola/pca_features_2.csv
pca_features_3,500,0.1416941561981235,95.06498731403275,1.1320049281931587e-20,1.2277686028541717,0.26837629301197347,90.91340925135165,1.0549364235431762,/home/mellie/supervised-vs-SSL/PCA_results/byola/pca_features_3.csv
pca_features_4,500,0.1369973599431533,113.09045261643769,6.102951039702178e-24,0.2529516075105734,0.6152267371266629,126.8135055896655,1.1528507969982715,/home/mellie/supervised-vs-SSL/PCA_results/byola/pca_features_4.csv
pca_features_5,500,0.13699736214153638,113.09044515460738,6.1029697561851395e-24,0.25295363294439627,0.6152253224205391,126.81351721283231,1.1528505378458593,/home/mellie/supervised-vs-SSL/PCA_results/byola/pca_features_5.csv
pca_features_6,500,0.13737372211180288,104.89219843049239,1.8165818393827942e-22,0.04432012166805384,0.8333452626483492,91.5914657627953,1.110589293773982,/home/mellie/supervised-vs-SSL/PCA_results/byola/pca_features_6.csv
pca_features_7,500,0.15071049002143785,114.72352406164745,3.122147893971481e-24,0.0007093730158312736,0.9787622781976132,49.808973260361356,1.1297851168809534,/home/mellie/supervised-vs-SSL/PCA_results/byola/pca_features_7.csv
pca_z_final_embeddings,500,0.143210789241161,114.00608734236015,4.190181425543134e-24,0.03235593139551471,0.8573218713908067,81.97865878282758,1.1128058662161497,/home/mellie/supervised-vs-SSL/PCA_results/byola/pca_z_final_embeddings.csv
